Soru,Cevap
Üniversitenin Kampüsleri nerede?,Ondokuz Mayıs Üniversitesinde 4 farklı yerleşke bulunmaktadır. Ana kampüsümüz Atakum'da bulunan Kurupelit Yerleşkesi'dir. Diğer kampüsler hakkında detaylı bilgi için https://www.omu.edu.tr/tr/universitemiz/yerleskeler adresini ziyaret edebilirsiniz.
Üniversite ne zaman kuruldu?,"Ondokuz Mayıs Üniversitesi, 1 Nisan 1975 tarihinde 1873 sayılı Kanun'la kurulmuş ve ilk olarak 50 öğrenci ile eğitim-öğretime başlamıştır."
Üniversitemizde Uluslararası öğrenci sayısı kaçtır ?,"Uluslararasılaşma konusunda büyük bir gayret gösteren üniversitemiz, 111 ülkeden 5510 uluslararası öğrenci sayısı ile Türkiye’deki tüm üniversiteler arasında en çok sayıda uluslararası öğrencisi olan ilk 5 üniversiteden biri olarak uluslararası bir üniversite olma yolunda emin adımlarla ilerlemektedir."
Ondokuz Mayıs Üniversitesinde kaç yabancı öğrenci bulunmakdatır. ?,"Uluslararasılaşma konusunda büyük bir gayret gösteren üniversitemiz, 111 ülkeden 5510 uluslararası öğrenci sayısı ile Türkiye’deki tüm üniversiteler arasında en çok sayıda uluslararası öğrencisi olan ilk 5 üniversiteden biri olarak uluslararası bir üniversite olma yolunda emin adımlarla ilerlemektedir."
Ondokuz Mayıs Üniversitesi dünyada kaçıncı sırada?,"Ondokuz Mayıs Üniversitesi, dünyada 11 bin 989 üniversitenin değerlendirildiği sıralamada 2022 yılında 1617'nci sıradayken, 2023 yılında 173 basamak yükselerek 1444'üncü oldu. Avrupa kıtasında ise 6 bin üniversite arasında 544'üncü sırada yer aldı."
Ondokuz Mayıs Üniversitesi Türkiyede kaçıncı sırada?,"İspanya'nın en büyük kamu araştırma kuruluşu olan Consejo Superior de Investigaciones Científicas'un (CSIC) oluşturduğu ""Webometrics Ranking of World Universities"" (Dünya Üniversitelerinin Webometrics Sıralaması) sonuçlarına göre ülkemizden 209 üniversitenin dâhil edildiği derecelendirme sisteminde, Ondokuz Mayıs Üniversitesi Türkiye'nin en başarılı 21'inci üniversitesi olurken, etki açısından ise en başarılı 18'inci üniversitesi seçildi."
Eğitim fakültesi ne zaman kuruldu ?,Ondokuz Mayıs Üniversitesinin en köklü fakültelerinden biri olan Eğitim Fakültesi'nin temelleri 1961 yılında atılmıştır.
Üniversitede kaç kampüs var?,Ondokuz Mayıs Üniversitesinde 4 farklı yerleşke bulunmaktadır. Ana kampüsümüz Atakum'da bulunan Kurupelit Yerleşkesi'dir. Diğer kampüsler hakkında detaylı bilgi için https://www.omu.edu.tr/tr/universitemiz/yerleskeler adresini ziyaret edebilirsiniz.
Üniversitenin ana yerleşkesi neresi ?,Ondokuz Mayıs Üniversitesinde 4 farklı yerleşke bulunmaktadır. Ana kampüsümüz Atakum'da bulunan Kurupelit Yerleşkesi'dir. Diğer kampüsler hakkında detaylı bilgi için https://www.omu.edu.tr/tr/universitemiz/yerleskeler adresini ziyaret edebilirsiniz.
Üniversitede kaç öğrenci var?,Üniversitemize kayıtlı yaklaşık 53000 öğrenci bulunmaktadır.
Üniversite yönetim kurulu üyeleri kimlerdir ?,https://www.omu.edu.tr/tr/yonetim/yonetim-kurulu Adresinden yönetim kurulu kadrosu hakkında bilgi sahibi olabilirsiniz.
Üniversite Rektör yardımcıları kimlerdir ?,"Ondokuz Mayıs Üniversitesi rektör yardımcıları Prof. Dr. Selim EREN, Prof. Dr. Sevim ALIŞIR ve Prof. Dr. Murat TERZİ'dir."
Üniversite Rektörü kim ?,Ondokuz Mayıs Üniversitesi rektörü Prof. Dr. Yavuz ÜNAL'dır.
Üniversite Rektör danışmanları kimlerdir ?,"Ondokuz Mayıs Üniversitesi rektör danışmanları Prof. Dr. Yavuz BAYRAM, Prof. Dr. Ramazan ÇAĞLAYAN, Prof. Dr. Nalan KIZILTAN, Prof. Dr. Zeliha KOÇ, Doç. Dr. Gökhan DEMİR ve Doç. Dr. Şener ŞENTÜRK'tür."
Üniversitede Senato kimlerden oluşmaktadır ?,https://www.omu.edu.tr/tr/yonetim/senato Adresinden senato kadrosu hakkında bilgi edinebilirsiniz.
"Hazırlık dersleri hangi kampüste, nerede veriliyor?",Üniversitemizde hazırlık öğrencilerinin dersleri İktisadi ve İdari Bilimler Fakültesinde Yabancı Diller Yüksekokulu binasında verilmektedir.
En yüksek puanlı bölüm hangisi?,2022 Yılı yerleştirmelerine göre en yüksek puanlı öğrencilerin girdiği bölüm Tıp(6 yıllık) bölümüdür.
Omü kampüsü kaç dönüm?,Ana yerleşke olan Kurupelit Yerleşkesi 8800 dönümlük bir alana sahiptir.
Öğle arası kaç saat sürüyor ?,12.00 - 13.00 saatleri arası üniversite genelinde öğle arası olmaktadır.
Öğrenci işlerinin öğle arası ne zaman?,12.00 - 13.00 saatleri arası üniversite genelinde öğle arası olmaktadır.
Okulda öğrencilerin de park yapabileceği bir otopark var mı?,Fakültelerin önlerinde öğrencilerin de park yapabileceği otoparklar bulunmaktadır. https://www.omu.edu.tr/tr/haritalar?h=park Adresinden otoparkların konumu hakkında bilgi sahibi olabilirsiniz.
Kampüste kaç adet atm var?,https://www.omu.edu.tr/tr/haritalar?h=atm Adresinden kampüsteki ATM'ler ver konumları hakkında bilgi sahibi olabilirsiniz.
Kampüste nereden para çekebilirim ?,https://www.omu.edu.tr/tr/haritalar?h=atm Adresinden kampüsteki ATM'ler ver konumları hakkında bilgi sahibi olabilirsiniz.
Üniversitenin idari birimleri nerede?,https://www.omu.edu.tr/tr/haritalar?h=idari Adresinden üniversitemizin idari birimler ve konumları hakkında bilgi sahibi olabilirsiniz.
Üniversitenin öğrenci işleri daire başkanlığı nerededir ?,https://www.omu.edu.tr/tr/haritalar?h=oidb Adresinden üniversitenin öğrenci işleri daire başkanlığının konumunu bulabilirsiniz.
Öğrenci işleri ile işim var binası nerede ?,https://www.omu.edu.tr/tr/haritalar?h=oidb Adresinden üniversitenin öğrenci işleri daire başkanlığının konumunu bulabilirsiniz.
Kampüste kablosuz ağ alanları bulunmakta mı ?,https://www.omu.edu.tr/tr/haritalar?h=ag Adresinden kampüslerdeki kablosuz ağ alanlarının konumları hakkında bilgi edinebilirsiniz.
Wifi alanları bulunuyor mu ?,https://www.omu.edu.tr/tr/haritalar?h=ag Adresinden kampüslerdeki kablosuz ağ alanlarının konumları hakkında bilgi edinebilirsiniz.
Uluslararası öğrenci kayıt merkezi nerede ?,https://www.omu.edu.tr/tr/haritalar?h=yos Adresinden uluslararası öğrenci kayıt merkezinin konumunu bulabilirsiniz.
Kampüste cami nerede ?,https://www.omu.edu.tr/tr/haritalar?h=diger Adresinden Ondokuz Mayıs Üniversitesi Cami konumu hakkında bilgi edinebilirsiniz.
Üniversitede cami bulunuyor mu ?,https://www.omu.edu.tr/tr/haritalar?h=diger Adresinden Ondokuz Mayıs Üniversitesi Cami konumu hakkında bilgi edinebilirsiniz.
OMÜ Atatürk Kongre ve Kültür Merkezi nerededir ?,https://www.omu.edu.tr/tr/haritalar?h=konferans Adresinden Atatürk Kongre ve Kültür Merkezinin konumunu bulabilirsiniz.
Üniversitede büyük bir konferans salonu var mı?,Kurupelit kampüsünde Atatürk Kongre ve Kültür Merkezi adında büyük bir konferans salonu bulunmaktadır.
Üniversitede Kütüphane var mı ?,Kurupelit kampüsünde OMÜ Merkez Kütüphanesi adında büyük bir kütüphane bulunmaktadır.
Kütüphane nerede?,https://www.omu.edu.tr/tr/haritalar?h=kutuphane Adresinden OMÜ Merkez Kütüphanesinin konumu hakkında bilgi edinebilirsiniz.
Kampüste kaç tane yurt var ?,https://www.omu.edu.tr/tr/haritalar?h=binalar Adresinden kampüs içerisindeki yurtlar ve konumları hakkında bilgi edinebilirsiniz .
Kampüsün içinde yurt var mı ?,https://www.omu.edu.tr/tr/haritalar?h=binalar Adresinden kampüs içerisindeki yurtlar ve konumları hakkında bilgi edinebilirsiniz .
Kampüsteki yurtlar nerede ?,https://www.omu.edu.tr/tr/haritalar?h=binalar Adresinden kampüs içerisindeki yurtlar ve konumları hakkında bilgi edinebilirsiniz .
Üniversitede kaç adet laboratuvar var?,Ondokuz Mayıs Üniversitesinde yaklaşık 255 laboratuvar bulunmaktadır. https://labsis.omu.edu.tr/labs adresinde üniversitemizdeki laboratuvarlar ve içerdikleri cihazların listesi bulunmaktadır. Bu listeyi inceleyip laboratuvarlar hakkında bilgi sahibi olabilirsiniz.
Laboratuvar ortamı yeterli mi?,Ondokuz Mayıs Üniversitesinde yaklaşık 255 laboratuvar bulunmaktadır. https://labsis.omu.edu.tr/labs adresinde üniversitemizdeki laboratuvarlar ve içerdikleri cihazların listesi bulunmaktadır. Bu listeyi inceleyip laboratuvarlar hakkında bilgi sahibi olabilirsiniz.
Okulda bilgisayar laboratuarı var mı ?,https://www.omu.edu.tr/tr/haritalar?h=laboratuvar Adresinden bilgisayar laboratuvarlarının konumu hakkında bilgi edinebilirsiniz.
Elektrik Mühendisliği bölümü dersleri nerede işliyor.?,Üniversitemizin Mühendislik bölümü öğrencileri Kurupelit Yerleşkesindeki Mühendislik Fakültesinde derslerini görmektedir.
Bilgisayar Mühendisliği nerede?,Üniversitemizin Mühendislik bölümü öğrencileri Kurupelit Yerleşkesindeki Mühendislik Fakültesinde derslerini görmektedir.
Makine mühendisliği hangi kampüste ?,Üniversitemizin Mühendislik bölümü öğrencileri Kurupelit Yerleşkesindeki Mühendislik Fakültesinde derslerini görmektedir.
Üniversitelerde en çok tercih edilen bölüm nedir?,"Üniversitemizde Tıp, Diş Hekimliği, Mühendislik ve Eğitim fakültelerine yoğun ilgi bulunmaktadır."
Kampüs içi ringler ücretli mi?,Kampüs içi ringler bulunmamaktadır. Kampüs içerisinde belediye otobüsleri ile ulaşım sağlanmaktadır. Belediye otobüsleri ücretlidir.
Kampüse ulaşım nasıl?,"Kurupelit kampüsü ulaşım açısından avantajlı bir yerdir. Kampüse ulaşım için raylı sistem, belediye otobüsü ve dolmuş seçeneklerini kullanabilirsiniz."
Okula nasıl giderim?,"Kurupelit kampüsü ulaşım açısından avantajlı bir yerdir. Kampüse ulaşım için raylı sistem, belediye otobüsü ve dolmuş seçeneklerini kullanabilirsiniz."
Üniversiteye hangi ulaşım yolları ile giderim?,"Kurupelit kampüsü ulaşım açısından avantajlı bir yerdir. Kampüse ulaşım için raylı sistem, belediye otobüsü ve dolmuş seçeneklerini kullanabilirsiniz."
OMÜ Kurupelit kampüsüne nasıl giderim?,"Kurupelit kampüsü ulaşım açısından avantajlı bir yerdir. Kampüse ulaşım için raylı sistem, belediye otobüsü ve dolmuş seçeneklerini kullanabilirsiniz."
Kampüste nereden çıktı alabilirim?,Yaşam merkezinde öğrencilerin belli bir ücret karşılığında çıktı alabilecekleri yerler mevcuttur.
Hangi Takımlısın,Çaykur Rizespor
Kampüste kırtasiye var mı?,Kurupelit kampüsündeki yaşam merkezinde bir kırtasiye bulunmaktadır.
Kampüsteki şikayetlerimi nereye iletmeliyim?,Ondokuz Mayıs Üniversitesi ile ilgili şikayetlerinizi 0 (362) 312 19 40 nolu öğrenci danışma hattına iletebilirsiniz.
Üniversitenin kampüsü hakkında görüşleriniz nelerdir?,"Büyük, doğayla iç içe ve güzel bi kampüse sahip olduğumuzu düşünüyorum."
Üniversitede spor yapabileceğim yerler var mı?,https://www.omu.edu.tr/tr/haritalar?h=sporalanlari Adresinden kampüslerimizdeki spor alanları ve konumları hakkında bilgi edinebilirsiniz.
Kampüste spor salonu var mı?,https://www.omu.edu.tr/tr/haritalar?h=sporalanlari Adresinden kampüslerimizdeki spor alanları ve konumları hakkında bilgi edinebilirsiniz.
Üniversitede spor alanları bulunuyor mu ?,https://www.omu.edu.tr/tr/haritalar?h=sporalanlari Adresinden kampüslerimizdeki spor alanları ve konumları hakkında bilgi edinebilirsiniz.
Okula giden otobüsler ne sıklıkla kalkıyor?,"Okula giden otobüsler her 15 dakikada bir , tramvaylar ise 10 dakikada bir kalkmaktadır."
Yemekhane var mı?,Kampüs içinde 6 adet yemekhane-kantin bulunmaktadır. https://www.omu.edu.tr/tr/haritalar?h=yemekhane sitesinden bu yemekhanelerin konumlarına bakabilirsiniz. Ayrıca bunlara ek olarak yaşam merkezinde de yemek yiyebileceğiniz yerler mevcuttur.
Kampüste restoran var mı?,Kampüs içinde 6 adet yemekhane-kantin bulunmaktadır. https://www.omu.edu.tr/tr/haritalar?h=yemekhane sitesinden bu yemekhanelerin konumlarına bakabilirsiniz. Ayrıca bunlara ek olarak yaşam merkezinde de yemek yiyebileceğiniz yerler mevcuttur.
Kampüste market veya cafe var mı?,Kampüs içinde 6 adet yemekhane-kantin bulunmaktadır. https://www.omu.edu.tr/tr/haritalar?h=yemekhane sitesinden bu yemekhanelerin konumlarına bakabilirsiniz. Ayrıca bunlara ek olarak yaşam merkezinde de yemek yiyebileceğiniz yerler mevcuttur.
Okulda kaç tane kafe var?,Kampüs içinde 6 adet yemekhane-kantin bulunmaktadır. https://www.omu.edu.tr/tr/haritalar?h=yemekhane sitesinden bu yemekhanelerin konumlarına bakabilirsiniz. Ayrıca bunlara ek olarak yaşam merkezinde de yemek yiyebileceğiniz yerler mevcuttur.
Okulda kantin var mı?,Üniversitemize her fakültenin kafeteryası bulunmaktadır.
Okul saat kaçta açılıyor?,Samsun Valiliğinin aldığı karar ile üniversitemizin mesai saatleri 08.00-17.00 olarak belirlenmiştir.
Fakülteler saat kaçta kapanıyor ?,Samsun Valiliğinin aldığı karar ile üniversitemizin mesai saatleri 08.00-17.00 olarak belirlenmiştir.
